texto_tweet,vader,xlm_roberta,robertuito,bert_multilingual,beto,sentiment_global
"@IPSChile @MintrabChile @GobiernodeChile @MinDesarrollo @previsionsocial @subse_ssociales @SENAMAGOB @IPSValparaiso @MDSValparaiso @ChileAtiende @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",positivo,neutral,neutral,negativo,neutral,neutral
"@IPSChile @ChileAtiende @IPSTarapaca @IPSOhiggins @IPSBiobio @IpsLosLagos @IPSLosRios @IPSMagallanes @IPSChile favor responder los mensajes. les envié el RSH,contrato de trabajo 2022, certificado de cargas familiares de @CajaLosAndes NECESITO MI #BONOMARZO #APORTEFAMILIARPERMANENTE @MinDesarrollo estoy en 40% RSH, dos cargas reconocidas en septiembre 2022, contrato vigente 08-22",positivo,neutral,neutral,negativo,neutral,neutral
"Hoy, a partir de las 16 hrs y en vivo por @24HorasTVN  el Gerente General de Aymapu, Víctor Velastino, conversará sobre los desafíos del reciclaje en nuestro país 👀

Aymapu fue el proyecto ganador del #PremioAvonni2022 Innovación Social @CajaLosAndes  🏆 https://t.co/QReOjLt88r",neutral,neutral,neutral,positivo,positivo,neutral
"@CajaLosAndes Hola, cuanto se demora un crédito en moverse a otra empresa por el concepto de inter-caja?, que pasa si no tengo trabajo nuevo de forma inmediata, es decir, si no tengo continuidad?, empezarian a aplicar los seguros?",negativo,neutral,negativo,negativo,negativo,negativo
@cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos @24HorasTVN,negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes @cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!,negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes @cajalosandes me pide certificado de la caja anterior con pago de mayo y yo en mayo estaba cesante por lo que mandé el certificado de la AFC 3 VECES. Me dicn que tengo que mandar ese documento o no me pagarán la licencia y mis hijos de 2 y 6 años se quedan sin regalos!!!!!!!,negativo,negativo,negativo,negativo,negativo,negativo
Ojalá que la @CajaLosAndes no me descuente cuota de crédito que ya se terminó de pagar. Para devolver lo que te han descontado mal hay que esperar ene.,negativo,negativo,negativo,negativo,neutral,negativo
"@CajaLosAndes hola les escribo y no me dejan enviarle mensaje 
les dejo mi correo: fabri.gonz@gmail.com",negativo,neutral,negativo,negativo,neutral,negativo
"@Fonasa Al bajar mi cert de cotizaciones me doy cuenta (ni sabía) que estoy en  @CajaLosAndes 
Ofrecen créditos y préstamos. Funcionan como financiera CON MI PLATA PARA SALUD! Cómo chucha es posible que con todos los fondos (AFP Y FONASA) HAGAN NEGOCIO ESTOS INFELICES? https://t.co/anMaj74CMn",neutral,negativo,negativo,negativo,positivo,negativo
"RT @CajaLosAndes: En este capítulo de #CaféSocial 🚀📺 los invitados serán Palpa, ganadoras de TECLA 5 y también 1ko, cooperativa con la cual…",neutral,neutral,neutral,positivo,positivo,neutral
"#Convocatoria
Obtén apoyo a la internacionalización y Softlanding de tu emprendimiento a Chile 🌏🚀
@endeavorchile Te invita a la 6.ª edición de TECLA, donde se premia a emprendimientos que trabajan por impactar la vida de millones de personas.
Participa: https://t.co/Mkh4DV58MO https://t.co/I1EbwRl328",neutral,positivo,positivo,positivo,positivo,positivo
"@CajaLosAndes Gracias !! @CajaLosAndes 

DM Enviado, empresas incorporadas por la web sin respuesta de vuestra parte aun, atento a su comentario y via de contacto para resolver, Gracias!!",negativo,neutral,negativo,negativo,positivo,negativo
@CajaLosAndes me podrian ayudar con el cupón de descuento en #Rhein de que me sirve un BENEFICIO de descuento si no lo puedo usar? https://t.co/HzaaGlvuEd,negativo,neutral,negativo,neutral,neutral,neutral
@CajaLosAndes Les deje un dm si me pueden ayudar porfavor,neutral,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes buenas tardes, quisiera saber si me pueden ayudar con unas licencias",neutral,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes dado q estoy afiliado a la Caja y soy pensionado, deseo mantenerme unido a Uds x este medio y dado que Uds. no tienen problemas de límites, deseo saber si es posible si me pueden seguir inicialmente y a continuación los sigo.. Eso. Atte",negativo,positivo,neutral,positivo,neutral,positivo
"@CajaLosAndes sucursal dicen que no salgo en sistema por esos meses, entonces por donde me atienden y dan solución?",negativo,neutral,negativo,negativo,neutral,negativo
"@IPSChile @CajaLosAndes ese ingreso está incorrecto, estamos en el 40% del registro social. https://t.co/TB7DcOcfb1",neutral,negativo,negativo,negativo,negativo,negativo
@ChileAtiende @IPSChile @MintrabChile @GobiernodeChile @MinDesarrollo @previsionsocial @subse_ssociales @SENAMAGOB @IPSValparaiso @MDSValparaiso @CajaLosAndes sí recibimos asignación familiar 2022 y ganamos menos de 900mil @IPSChile https://t.co/gSTy2Xvq3V,neutral,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes @SUSESOChile Ademas, el formulario marca como pendiente un documento que deberia ser optativo, puesto que no presento ausencias laborales.  Quedo atento.",negativo,neutral,neutral,neutral,neutral,neutral
"¡Más de 44.000 personas ya decidieron ayudar! Súmate tú también a un SOAP con VALOR SOCIAL 🤗

Nos unimos a @CajaLosAndes  para seguir llevando conectividad a niñas y niños de escuelas rurales en Chile.",neutral,positivo,positivo,positivo,positivo,positivo
"De una idea de 2 estudiantes de doctorado de @UChile_Beauchef a una exitosa #startup en sostenibilidad. #Elementum, parte de nuestro portafolio @KnowHubChile,  es finalista del Premio #Tecla6 de @CajaLosAndes y les invitamos a darle su apoyo! 
+ info ➡️ https://t.co/navTYdWBOE https://t.co/pv2YSQMcb8",neutral,positivo,positivo,positivo,positivo,positivo
"📍📅 Te esperamos el 29 de noviembre, a las 11:20 horas, en Centro Parque (Presidente Riesco 5330, Las Condes). 

➡️ Inscríbete aquí (cupos limitados): https://t.co/twoSc9Bvlk",neutral,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes buen dia 
necesito hablar con un ejecutivo y me hablan por whatsap desde el nº +56 9 3484 8425
en la pag de uds dice que el numero oficial es 569 3657 3560.
no quiero ser estafado, puede validar el primer numero?",negativo,neutral,neutral,negativo,neutral,neutral
"@adrian_goodrich @CajaLosAndes Solución fácil, que tramite su renuncia y se busque otra caja de ""compensación"".... seguro que @CajaLosAndes corriendo le van a hacer el curso a su casa y le regalan un notebook. 🤔🙄😎",neutral,neutral,neutral,neutral,positivo,neutral
"@CajaLosAndes Jamás se pudo bajar la gifcard con unimarc y ahora salen todos inhabilitados. En sucursal dan una respuesta, ustedes otra respuesta. Ojalá se pongan de acuerdo y arregle luego por que estamos hace más de una semana intentando bajar la gifcard y arroja error.",negativo,negativo,negativo,negativo,negativo,negativo
@CampeonatoCL @udechilefem @CajaLosAndes Pongan un arbitraje capacitado ineptos,neutral,negativo,negativo,negativo,negativo,negativo
RT @LucianoRivas: Junto a @CajaLosAndes se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,neutral,positivo,neutral,positivo,neutral,neutral
RT @LucianoRivas: Junto a @CajaLosAndes se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,neutral,positivo,neutral,positivo,neutral,neutral
"Será factible q hoy la @CajaLosAndes , estime conveniente cancelar mi licencia médica @SUSESOChile  ?.
Pregunto…",neutral,neutral,neutral,negativo,neutral,neutral
Constructivo encuentro de dirigentes @Fesuc_Chile en Asamblea Nacional realizado en @CajaLosAndes Santiago. #HOY última jornada de reflexiones y acuerdos para aportar al desarrollo y fortalecimiento de CODELCO. https://t.co/nYpTEF62xE,neutral,positivo,neutral,positivo,neutral,neutral
"@Fesuc_Chile @CajaLosAndes Excelente y productiva jornada de trabajo y de encuentro Sindical, @Fesuc_Chile @CajaLosAndes",neutral,positivo,positivo,positivo,positivo,positivo
RT @deficitcero: Hoy fuimos destacados como una de las 70 iniciativas que impactan la vida de chilenos y chilenas en este especial de innov…,neutral,positivo,positivo,positivo,positivo,positivo
@DesiiSV @DeboraRiffo @sbeiitha @CajaLosAndes Vine a buscar información y ya veo que no soy la única que está en las mismas 😫 ya mitad de mes y nada del pago de la extensión del pp.,negativo,negativo,negativo,negativo,negativo,negativo
"@CajaLosAndes Deberian agregar que Cotizaciones de Fonasa, ya que eso es lo que realmente piden y asi uno no pierde el tiempo! https://t.co/XtrHG6NI7t",negativo,neutral,neutral,positivo,neutral,neutral
"@CajaLosAndes esperando que me paguen mi licencia, el compin la autorizo y la caja no me da respuestas 🤬",negativo,negativo,negativo,negativo,negativo,negativo
"@CajaLosAndes Hasta cuando mi hermana tiene que seguir esperando el pago de la extensión de su post natal, más en estas fechas 😡 cuando más se necesita.",neutral,negativo,negativo,neutral,negativo,negativo
"RT @CampeonatoCL: 👏👏 Felicitaciones @udechilefem 🔵🔴

Triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de Sausalito 🎟🏟

Nos…",neutral,positivo,positivo,positivo,positivo,positivo
@CajaLosAndes hace días me intento contactar por whatsApp y no contestan….no están trabaja a través de esa opción???,negativo,negativo,negativo,negativo,neutral,negativo
"@CajaLosAndes  hola estimados!!!
Hice una solicitud (martes) a través del sitio web, cuya respuesta estaba en 48 hrs, según lo que decía el anuncio, pero aún no la tengo? Existe algún problema?",negativo,neutral,neutral,negativo,negativo,negativo
"@CajaLosAndes hola solicite un credito por la pagina el dia de ayer, ya que el whatsapp, asi lo informa, por que no lo hacen por ese medio. Ahora llamo al call center e informa que no tengo ninguna solicitud. Y que es obligación ir a la sucursal. No tengo tiempo para ir.",negativo,negativo,negativo,negativo,negativo,negativo
"RT @CajaLosAndes: @MayoTobar, Hola, informamos que aún no tenemos fecha de lanzamiento del beneficio Caja Escolar 2023, te recomendamos est…",negativo,neutral,neutral,positivo,neutral,neutral
"@CajaLosAndes Hola quiero mandar mis documentos para asignacion familiar al correo que sale en su pagina que es asignacion.familiar@cajalosandes.cl pero al enviarlo me llega un mensaje de que no existe, o no deja enviar correo",negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes  alguien me puede ayudar tengo dos semana llamando nadie tiene información de mi caso no responden mic correos electrónicos y ya hice mis pagos y no me los reflejas y estoy como moroso sabiendo q pague y envíe todo por correo,negativo,negativo,negativo,negativo,negativo,negativo
"La @CajaLosAndes ofrece el #Soap a 1990 en el correo, ni se molesten en abrirlo, es para carritos de arrastre jajaja https://t.co/TCmHFvlba3",neutral,neutral,neutral,positivo,neutral,neutral
Todos los días me envían un mail diciendo q procederán a realizar la transferencia electrónica. En q año lo harán?. Son una real 💩 @CajaLosAndes @SUSESOChile https://t.co/RZGmbPywvA,neutral,neutral,negativo,negativo,neutral,neutral
@CajaLosAndes Solo paso por el parque para entrar a la piscina..debo pagar 4 mil por pisar el parque y no hacer otro “uso” más que ese??,negativo,negativo,neutral,negativo,negativo,negativo
"RT @Cristin28969576: @CajaLosAndes necesito urgente ver qué me solucionen mis pagos, no me quisieron recibir el documento en la sucursal de…",negativo,neutral,negativo,negativo,negativo,negativo
"Ayúdanos con tu voto! 

apanio - la solució;n digital para Mypes https://t.co/7D6vGEXLH8 #socialab vía @Socialab_com",neutral,neutral,neutral,positivo,neutral,neutral
"RT @lachepa0: @CajaLosAndes 2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. Llevo 8 días hábiles, esperando la…",neutral,negativo,negativo,negativo,negativo,negativo
"@CajaLosAndes 2 meses y más, se han demorado en pagar las cargas familiares retroactivas!. Llevo 8 días hábiles, esperando la respuesta a su análisis!. Cómo alguien no va poder levantar la info y cruzarla?. Elevado nivel de inoperancia @SUSESOChile. Ya realice el reclamo.",negativo,negativo,negativo,negativo,neutral,negativo
@CajaLosAndes Buen día. ¿Para cuando el pago de la extensión del postnatal? Envié la carta el 02.12 a mi empleador y nada. Consulto por WhatsApp y no hay respuesta. ¿No pagarán este año? ¡Qué abuso!,negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes una mierda para atender publico sucursal colina atienden a una y hacen esperar cada 20 minutos para segur atendiendo son una mierda 😡😡😡😡😡 sobre todo el que está encargado creo,neutral,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes en un trámite que me habría tomado 2 minutos en un tótem tuve que esperar 30 minutos. Arreglen sus sucursales del área poniente. #malservicio,neutral,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes @jota_erre20 Yo aún espero el pago de mi licencia de enero. Por un mal cálculo que la caja y debo esperar hasta marzo ! Es Justo !?,neutral,neutral,negativo,negativo,negativo,negativo
"@CajaLosAndes bueno as tardes, me gustaría saber si tiene otro número telefónico para poder hablé con un ejecutivo ya que llevo más de 50 minutos esperando que me atiendan dan por la vía telefónica. Además encuentro una burla que la grabación diga “por qué tu tiempo es válido”",neutral,negativo,negativo,positivo,neutral,neutral
"@CajaLosAndes Aun espero respuesta y solucion a mi requerimiento, cuanto mas debo esperar?",neutral,neutral,negativo,positivo,neutral,neutral
"@CajaLosAndes @sbeiitha @CajaLosAndes buenas tardes a la fecha y aún espero el@pago de la extensión de la licencia parental, llamo y dicen que aún no está cargada, cuánto más hay que esperar ? Estoy al borde del colapso por favor no se justifica los atrasos que dicen que tienen",negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes la semana pasada que mi licencia se vería y sin problema y hasta hoy no se ve. Cómo voy a subir la documentación si la licencia ni siquiera la tienen cargada pero si está autorizada a pago. Es de verdad el colmo. Averiguaré a quien presentar él reclamo...,negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes terrible. Me hacen llegar una notificación que mi licencia está a pago y cuando intento ingresar me indica que no está la información. Lleve desde la semana pasada pidiendo información y recién hoy me dicen qué hay un documento pendiente...,negativo,negativo,negativo,negativo,negativo,negativo
"@CajaLosAndes hola! Necesito descargar el formulario de pago directo y desde mi portal no consigo encontrarlo, me pueden ayudar? Porfavor gracias",negativo,neutral,neutral,negativo,neutral,neutral
"@cibermagda @Fonasa @CajaLosAndes Exacto, estaba viendo los directorios hay un ABBOT!",neutral,neutral,neutral,negativo,neutral,neutral
"RT @CajaLosAndes: En este capítulo de #CaféSocial 🚀📺 los invitados serán Palpa, ganadoras de TECLA 5 y también 1ko, cooperativa con la cual…",neutral,neutral,neutral,positivo,positivo,neutral
Lo capturado por @CajaLosAndes se uso para autenticar en el portal del SII. https://t.co/Pd9SSAWVrp,neutral,neutral,neutral,positivo,neutral,neutral
"RT @NurDanzaArabe: Pueden creer que un MENÚ de almuerzo en el Centro Vacacional #Huallilemu Sur de la @CajaLosAndes cuesta $19.000
Se pasar…",neutral,neutral,negativo,negativo,negativo,negativo
"@CajaLosAndes hola en los centro vacacionales si tengo una reserva para hospedar, puedo reservar un quincho y que ingresen por el día otras personas que no están hospedando al lugar para compartir en ese espacio?",negativo,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes consulta, cuánto demora en reflejarse en mi cuenta un crédito de consumo?🤔",neutral,neutral,neutral,negativo,negativo,neutral
@adrian_goodrich @CajaLosAndes Y al weon que se le ocurrió hacer el curso fue promovido por inteligente 🤡,neutral,negativo,negativo,positivo,neutral,neutral
"@A_sad_dreamer @CajaLosAndes Hola, te lograron ayudar? Me avisas por favor. Gracias!",positivo,neutral,neutral,negativo,neutral,neutral
"RT @fpaisdigital: ¡En #paísdigital nos unimos a @CajaLosAndes para lanzar un SOAP con VALOR SOCIAL! 

Conoce sus historias en el siguiente…",neutral,neutral,positivo,positivo,positivo,positivo
"@CajaLosAndes Agradecería ser parte de los 10,2 cuentas a quienes siguen Uds  en vuestra página. 
En resumen, me siguen los sigo. Atte",neutral,neutral,neutral,positivo,positivo,neutral
"@CajaLosAndes solo endosa responsabilidad a Compin, siendo que Compin envió resolución de licencia “Aprobando Reposo”, el 15 de Diciembre. @CajaLosAndes @DEYDMINSAL @SuperDeSalud @gabrielboric https://t.co/jz2eChmzAP",neutral,neutral,negativo,negativo,neutral,neutral
@CajaLosAndes que sucede con el pago del postnatal de emergencia? Hace más de 1 mes que salió la ley y uds aun no cargan la licencia al sistema!,negativo,negativo,negativo,negativo,negativo,negativo
"RT @fpaisdigital: ¡Más de 44.000 personas ya decidieron ayudar! Súmate tú también a un SOAP con VALOR SOCIAL 🤗

Nos unimos a @CajaLosAndes…",neutral,positivo,positivo,positivo,neutral,positivo
"El Presidente de @FundChileEspana , el Presidente de @CajaLosAndes y el Sr Embajador de España en Chile @EmbEspanaChile han inaugurado el Encuentro de Hangar 360, gran encuentro internacional de innovación y emprendimiento , rompiendo fronteras entre Chile y España. https://t.co/vjJWeDRr3x",neutral,positivo,positivo,positivo,positivo,positivo
"Una vez más mi mamá queda así 🤡 gracias a un seguro de @CajaLosAndes y sus cláusulas secretas que nadie te informa por las preguntas que hagas, para luego de TRES MESES decirle “no corresponde pago” 😂😂😂",neutral,negativo,negativo,negativo,negativo,negativo
"RT @FreshWaterCL: Finalistas en #TECLA6 2023 

Felices si nos apoyas con tu VOTO
(hasta 31 marzo)

💦Eso nos permitirá internacionalizar nue…",neutral,positivo,positivo,positivo,positivo,positivo
Cuando pagan el siniestro del seguro @Cardif_Chile y cómplices de la @CajaLosAndes,neutral,negativo,negativo,negativo,negativo,negativo
1era vez q’ocupó @CajaLosAndes Dgo.fui a consultar a sucursal y me indicaron cómo comprar entradas a la piscina y el llamo a #pirque mi sorpresa fue grande pagué $11.000 x quincho 4.000 x parque obligatoriooh sorpresa había q’pagar ingreso a piscina $3500@GobiernodeChile @biobio,neutral,neutral,neutral,negativo,neutral,neutral
"RT @FISUartistas: REGALA UNA EXPERIENCIA INOLVIDABLE EN EL DÍA DE LA MADRE
14 de mayo a las 17:00 hrs Gran Arena Monticello
“ZABALETA AHORA…",neutral,positivo,positivo,positivo,neutral,positivo
@CajaLosAndes buenos días. Me parece el colmo de los colmos que mi licencia médica que está aprobada pero con documentos pendientes que no puedo subir porque jamás ha estado en el listado la licencia. Hoy necesitaba mi dinero en mi cuenta y mi empleador envío mi liquidación.,positivo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes paguenme la licencia por el amor de diosss,positivo,negativo,neutral,negativo,neutral,negativo
"RT @TreceLab: Ya estamos al aire con este proyecto que nos llena de orgullo, en su 5ta temporada, #CaféSocial. Marcas que se atreven a hace…",neutral,positivo,positivo,positivo,positivo,positivo
"RT @TreceLab: Ya estamos al aire con este proyecto que nos llena de orgullo, en su 5ta temporada, #CaféSocial. Marcas que se atreven a hace…",neutral,positivo,positivo,positivo,positivo,positivo
RT @LucianoRivas: Junto a @CajaLosAndes se generó una iniciativa que mejora la calidad de vida de las familias de las comunas afectadas por…,neutral,positivo,neutral,positivo,neutral,neutral
@alexvega86 @CajaLosAndes Debo ir a ChileAtiende este mi chile querido plop,neutral,neutral,negativo,negativo,neutral,neutral
RT @Fesuc_Chile: Constructivo encuentro de dirigentes @Fesuc_Chile en Asamblea Nacional realizado en @CajaLosAndes Santiago. #HOY última jo…,neutral,neutral,neutral,positivo,neutral,neutral
@CajaLosAndes necesito aclarar una duda con unos descuentos x deuda de credito que se han realizado.,neutral,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes creo que se paga un interés no bajo que contempla el servicio, finalmente llegó a retirar el cheque y la cajera muy amable preocupada de su celular, basta señores!",negativo,negativo,negativo,negativo,neutral,negativo
"@CajaLosAndes Les escribí con el detalle pero tengan por seguro que si no es realizado mi pago como corresponde según resolucion, seguiré insistiendo por esta vía para que sean respetados mis derechos. También si es resuelto, lo haré saber por acá.",negativo,neutral,neutral,negativo,neutral,neutral
"@CajaLosAndes pésimo servicio, tiempos de respuesta excesivos y nadie soluciona nada, lucran con los trabajadores, llevo más de un mes esperando respuesta de la tramitación de licencias médicas y aún no tengo respuesta.",negativo,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes requiero info de licencia médica.  Fecha de pago aprox 01/12/22. Hablar con la asistente virtual es pérdida de tiempo.,neutral,negativo,negativo,negativo,negativo,negativo
@CajaLosAndes Hola. Mi rut es 10566292-0. Correo jamunoz@santotomas.cl. +56940605449. Me figura un credito preaprobado en la interfaz de mi sv por 571.200 me interesa en 60 cuotas y consolidar mi actual credito. Me ayudan?,neutral,neutral,neutral,negativo,neutral,neutral
@CajaLosAndes les envié un dm urgente,neutral,neutral,neutral,positivo,neutral,neutral
@CajaLosAndes hola..como me contacto con el ejecutivo a cargo de mi trabajo??,neutral,neutral,neutral,negativo,neutral,neutral
"RT @CampeonatoCL: 👏👏 Felicitaciones @udechilefem 🔵🔴

Triunfo 2-1 en la semifinal de vuelta y los pasajes para la final de Sausalito 🎟🏟

Nos…",neutral,positivo,positivo,positivo,positivo,positivo
